KOD_DISC,NAME_DISC,NAME_DIV
"7851","Міжнародні стандарти аудиту і контролю","Кафедра бухгалтерського обліку та оподаткування"
"7852","Зв'язки з громадськістю в соціальній роботі зі змістовим модулем: Соціальна реклама","Кафедра психології, політології та соціокультурних технологій"
"7853","Соціальна робота з людьми з інвалідністю","Кафедра психології, політології та соціокультурних технологій"
"7854","Фінансове регулювання та нагляд","Кафедра фінансів і підприємництва"
"7854","Фінансове регулювання та нагляд","Кафедра фінансів, банківської справи та страхування"
"7855","Комп'ютерні методи оптимізації в механіці - КР","Кафедра загальної механіки та динаміки машин"
"7856","Комп'ютерні методи багатоцільової оптимізації - КР","Кафедра загальної механіки та динаміки машин"
"7857","Монтаж та ремонт гідромашин і гідроприводів","Кафедра прикладної гідроаеромеханіки"
"7858","Технологічні основи гнучких автоматизованих виробництв","Кафедра технології машинобудування, верстатів та інструментів"
"7861","Графічний дизайн і реклама","секція ""Інформаційні технології проектування"""
"7862","Графічний дизайн Web-сайтів","секція ""Інформаційні технології проектування"""
"7870","Регуляторна політика","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7876","Транспортна логістика","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7877","Сталий розвиток","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7879","Управління бізнес-процесами","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7880","Управління бізнес-процесами - КР","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7881","Управлінська економіка","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7882","Прийняття рішень","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7883","Практикум","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7907","Ринкові інститути та комунікації","Кафедра фінансів і підприємництва"
"7908","Ринкові інститути та комунікації - КР","Кафедра фінансів і підприємництва"
"7915","Економіка ресурсозбереження","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7916","Планування операційної діяльності","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7919","Управління активами - КР","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7920","Управління інноваційним потенціалом компанії","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7924","Бізнес та інновації","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7926","Конкурентні стратегії - КР","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7927","Конкурентні стратегії","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7928","Управління ланцюгами поставок","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7929","Економіка і організація сфери послуг","Кафедра економіки, підприємництва та бізнес-адміністрування"
"7932","Електронний бізнес та електронна комерція","Кафедра фінансів і підприємництва"
